parameter_name,Shape of ribcage
gene_accession_id,MGI:1934811
parameter_id,IMPC_XRY_059_001
mouse_strain,C57BL
analysis_id,1nlt7p3jhw0g95p
mouse_life_stage,Late adult
pvalue,0.8336801
gene_symbol,Nucks1
