parameter_name,Facial Morphology
gene_accession_id,MGI:3045306
analysis_id,w6s66b0xgox11u9
pvalue,0.3711565
mouse_life_stage,Early adult
gene_symbol,Exd1
mouse_strain,C57BL
parameter_id,IMPC_GEP_017_001
