mouse_life_stage,Early adult
parameter_name,Total T cells - % of CD45+
analysis_id,w90kn5847bfchyx
gene_accession_id,MGI:105073
pvalue,0.7368981
gene_symbol,Tnni1
mouse_strain,C57BL
parameter_id,MGP_MLN_001_001
