parameter_name,Basophil cell count
gene_symbol,Bpifa3
mouse_strain,C57BL
parameter_id,IMPC_HEM_037_001
gene_accession_id,MGI:1920638
analysis_id,unijn12580by9c4
mouse_life_stage,Early adult
pvalue,0.6682058
