gene_symbol,Kcng1
mouse_strain,C57BL
parameter_id,JAX_OFD_016_001
gene_accession_id,MGI:3616086
mouse_life_stage,Early adult
pvalue,0.6414714
analysis_id,zn8p8r0vq2huf30
parameter_name,Center permanence time
