gene_symbol,Cmpk1
parameter_id,IMPC_OFD_020_001
parameter_name,Distance travelled - total
gene_accession_id,MGI:1913838
pvalue,0.2338167
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,u09msqohhy64768
