gene_symbol,LURAP1
parameter_name,Resting CD4+ T helper cells - % of CD4+ T helper cells
analysis_id,1cq90pz9bh14y9q
mouse_strain,C57BL
gene_accession_id,MGI:1915325
pvalue,0.934853
mouse_life_stage,Early adult
parameter_id,MGP_MLN_006_001
