gene_symbol,Sla2
mouse_strain,C57BL
gene_accession_id,MGI:1925049
analysis_id,m0thhfei7522vbp
pvalue,0.232217
parameter_id,IMPC_GEL_011_001
parameter_name,Embryo turning
mouse_life_stage,Early adult
