analysis_id,99l7vu3foe44074
parameter_id,IMPC_CSD_028_001
mouse_life_stage,Early adult
pvalue,0.1752279
gene_accession_id,MGI:1916222
mouse_strain,C57BL
parameter_name,Snout size
gene_symbol,Tatdn3
