analysis_id,cjae4wpm1u00242
gene_accession_id,MGI:2441730
mouse_life_stage,Late adult
gene_symbol,Tbl1xr1
pvalue,0.4909765
parameter_id,IMPC_ABR_006_001
parameter_name,12kHz-evoked ABR Threshold
mouse_strain,C57BL
