parameter_name,Center average speed
gene_symbol,Sla2
pvalue,0.5154389
parameter_id,JAXLA_OFD_017_001
mouse_strain,C57BL
analysis_id,ln379d475g89742
gene_accession_id,MGI:1925049
mouse_life_stage,Early adult
