parameter_id,UCD_OWT_003_001
mouse_strain,129SV
pvalue,0.07904724
gene_symbol,Cntfr
mouse_life_stage,Early adult
analysis_id,299axykl2f1422m
parameter_name,Spleen weight
gene_accession_id,MGI:99605
