gene_symbol,Mgst2
gene_accession_id,MGI:2448481
pvalue,0.1982108
analysis_id,s00wp60g1701dj4
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,IMPC_GEL_028_001
parameter_name,Forebrain
