analysis_id,29v2i5tu1a64376
mouse_strain,C55BL
pvalue,0.8910121
parameter_name,Hindlimb digit - size
gene_accession_id,MGI:88174
gene_symbol,Bmi1
mouse_life_stage,E15.5
parameter_id,IMPC_CSD_047_001
