mouse_strain,129SV
mouse_life_stage,Early adult
analysis_id,006p088g7knes66
gene_accession_id,MGI:1332236
parameter_name,30kHz-evoked ABR Threshold
parameter_id,IMPC_ABR_012_001
pvalue,0.3386013
gene_symbol,Cds2
