gene_symbol,Exd1
parameter_id,IMPC_CSD_028_001
mouse_strain,C57BL
pvalue,0.8248676
parameter_name,Snout size
mouse_life_stage,Early adult
analysis_id,a1j04bl3juhi4m4
gene_accession_id,MGI:3045306
