analysis_id,ys4zd5uy0elcxt8
parameter_id,IMPC_ECG_005_001
pvalue,0.730829
gene_symbol,Stk35
parameter_name,PQ
gene_accession_id,MGI:1914583
mouse_strain,C57BL
mouse_life_stage,Early adult
