gene_symbol,Bach2
pvalue,0.8555519
parameter_id,JAX_OFD_012_001
parameter_name,Periphery permanence time
analysis_id,57olqa2349bug18
gene_accession_id,MGI:894679
mouse_strain,C57BL
mouse_life_stage,Early adult
