gene_symbol,Bpifa3
analysis_id,o1257h359h2gnno
parameter_id,ICS_FEA_019_001
mouse_life_stage,Early adult
parameter_name,% Freezing duration pre-cue-2
mouse_strain,C57BL
pvalue,0.7559579
gene_accession_id,MGI:1920638
