gene_symbol,Ahctf1
parameter_id,JAXLA_OFD_020_001
parameter_name,Distance travelled - total
pvalue,0.07202653
gene_accession_id,MGI:1915033
mouse_strain,C50BL
mouse_life_stage,Early adult
analysis_id,2ux6cf2m203y8e5
