parameter_name,Center permanence time
mouse_strain,C57BL
pvalue,0.5041253
gene_accession_id,MGI:109585
gene_symbol,Pld1
analysis_id,v3lg3yw44c54sr3
mouse_life_stage,Early adult
parameter_id,JAX_OFD_016_001
