parameter_id,MGP_PBI_038_001
parameter_name,Ly6Clow monocyte number
gene_symbol,Tiprl
analysis_id,yl13ndn8ad435y0
gene_accession_id,MGI:1915087
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.6696383
