parameter_name,Calcium
pvalue,0.4177383
gene_accession_id,MGI:1918025
mouse_strain,C57BL
parameter_id,HMGULA_CBC_009_001
analysis_id,m4v57i4j73a5g6e
mouse_life_stage,Early adult
gene_symbol,Zmynd8
