gene_symbol,Cldn19
parameter_name,Number of rears - total
analysis_id,to23714q6kbie8b
pvalue,0.7012093
mouse_strain,C57BL
gene_accession_id,MGI:3033992
parameter_id,IMPC_OFD_021_001
mouse_life_stage,Early adult
