analysis_id,1q45r0187py240y
pvalue,0.2724749
mouse_life_stage,Early adult
gene_symbol,MECOM
parameter_id,UCD_OWT_003_001
gene_accession_id,MGI:95457
mouse_strain,C3H
parameter_name,Spleen weight
