analysis_id,e89s2b6jjpwq1zd
parameter_name,Alkaline phosphatase
parameter_id,HRWLLA_CBC_014_001
mouse_strain,C57BL
pvalue,0.4325429
gene_symbol,Bach2
gene_accession_id,MGI:894679
mouse_life_stage,Early adult
