parameter_name,Narrow eye opening
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.6905599
analysis_id,dp0x32c644y64m3
gene_accession_id,MGI:1929242
parameter_id,IMPC_EYE_006_001
gene_symbol,Ivd
