analysis_id,6s86sxme00nw7yl
gene_accession_id,MGI:2446186
parameter_id,MGP_IMM_094_001
parameter_name,KLRG1+ CD4- NKT cells - % of CD45+
gene_symbol,LPGAT1
mouse_strain,C57BL
mouse_life_stage,Late adult
pvalue,0.5504441
