parameter_name,Heart looping
pvalue,0.133534
mouse_life_stage,Early adult
parameter_id,IMPC_GEL_057_001
gene_accession_id,MGI:1917810
gene_symbol,Wars2
analysis_id,m99m701u31d5gsk
mouse_strain,C57BL
