gene_symbol,Serinc3
pvalue,0.6711277
parameter_name,Startle response
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1349457
analysis_id,2r72116dpbf88nf
parameter_id,HMGULA_SHI_009_001
