analysis_id,380m6b8937nsy0w
mouse_life_stage,Early adult
pvalue,0.9919328
parameter_id,MGP_MLN_032_001
parameter_name,Effector NK cells - % of NK cells
mouse_strain,C57BL
gene_symbol,Tnni1
gene_accession_id,MGI:105073
