analysis_id,5ogusau358218lk
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:107566
parameter_id,IMPC_IMM_004_002
pvalue,0.2951642
parameter_name,NKT cells (panel A) - % of live leukocytes (Panel A)
gene_symbol,Kifap3
