analysis_id,s3y23t5pk06pwsf
mouse_life_stage,Early adult
gene_accession_id,MGI:1914061
parameter_name,Resting CD4- NKT cells - % of CD4- NKT cells
gene_symbol,Duoxa2
parameter_id,MGP_IMM_027_001
mouse_strain,C57BL
pvalue,0.2989869
