gene_symbol,Alkbh3
mouse_life_stage,Early adult
pvalue,0.5363533
parameter_id,UCDLA_EYE_017_001
mouse_strain,C57BL
analysis_id,2jf2k4a38547f70
parameter_name,Lens Opacity
gene_accession_id,MGI:1916363
