parameter_name,Thyroxine
mouse_strain,C57BL
gene_accession_id,MGI:1915325
parameter_id,IMPC_CBC_053_001
gene_symbol,Lurap1
analysis_id,oy4g3zmzm336h94
pvalue,0.5449446
mouse_life_stage,Early adult
