analysis_id,3830w9iwi4h0953
parameter_name,Coat - hair distribution - head
gene_symbol,Sema6c
gene_accession_id,MGI:1338032
mouse_strain,C57BL
parameter_id,IMPC_CSD_012_001
mouse_life_stage,Early adult
pvalue,0.5100227
