parameter_name,Distance travelled - total
gene_accession_id,MGI:2685266
pvalue,0.9582474
analysis_id,z2908u0p605rxk8
mouse_life_stage,Early adult
gene_symbol,Pglyrp3
mouse_strain,C57BL
parameter_id,HRWLLA_OFD_020_001
