parameter_id,HRWLLA_DXA_007_001
gene_accession_id,MGI:1921442
parameter_name,BMC/Body weight
mouse_strain,C57BL
pvalue,0.5528886
mouse_life_stage,Early adult
analysis_id,i626ug281ii8h3v
gene_symbol,Arpc5l
