analysis_id,54n8g2742ze0a6y
gene_accession_id,MGI:1916222
gene_symbol,Tatdn3
parameter_id,IMPC_HEM_037_001
pvalue,0.3725257
parameter_name,Basophil cell count
mouse_life_stage,Early adult
mouse_strain,C57BL
