analysis_id,8l1f4h5v531zn1b
mouse_strain,C57BL
gene_symbol,Ap5s1
mouse_life_stage,Early adult
pvalue,0.1097024
parameter_id,IMPC_IMM_046_001
gene_accession_id,MGI:1916846
parameter_name,DN CD44+CD62L- NKT cells
