gene_symbol,Trp53i11
pvalue,0.7221026
parameter_id,IMPC_CSD_012_001
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Coat - hair distribution - head
gene_accession_id,MGI:2670995
analysis_id,3u524gxxwj505h8
