parameter_name,Vibrissae - appearance
gene_symbol,Bach2
mouse_strain,C57BL
gene_accession_id,MGI:894679
parameter_id,HMGULA_DYS_024_001
pvalue,0.9908676
analysis_id,ti5140j001myah0
mouse_life_stage,Early adult
