analysis_id,756z0xog23bbs32
gene_accession_id,MGI:1915848
pvalue,0.3392796
gene_symbol,Dnajc8
parameter_name,Time mobile light side
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,JAX_LDT_003_001
