analysis_id,k059afx9mqf0176
gene_accession_id,MGI:1917810
pvalue,0.3707347
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,IMPC_CSD_070_001
parameter_name,Lower teeth appearance
gene_symbol,Wars2
