parameter_id,HRWLLA_OFD_010_001
analysis_id,m6n80fa12wkiwj3
gene_symbol,Trpa1
mouse_life_stage,Early adult
gene_accession_id,MGI:3522699
mouse_strain,C57BL
parameter_name,Periphery distance travelled
pvalue,0.8904094
