analysis_id,i42228kdyyqgc02
pvalue,0.8867011
mouse_strain,C57BL
parameter_id,IMPC_IMM_052_001
gene_symbol,Zc2hc1a
gene_accession_id,MGI:1914556
mouse_life_stage,Early adult
parameter_name,Eosinophils
