analysis_id,n8xc1l254wc33o5
mouse_life_stage,Early adult
gene_symbol,Kdm4c
parameter_name,Body Weight
parameter_id,M-G-P_012_001_005
mouse_strain,C57BL
pvalue,0.9276418
gene_accession_id,MGI:1924054
