gene_symbol,Sgip1
gene_accession_id,MGI:1920344
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Resting Treg cells - % of Treg
analysis_id,fg7i8wyi4458n4j
pvalue,0.8856381
parameter_id,MGP_MLN_010_001
