analysis_id,wp49917015pom13
gene_accession_id,MGI:1888742
mouse_strain,C57BL
gene_symbol,Extl1
parameter_id,IMPC_CBC_018_001
mouse_life_stage,Early adult
parameter_name,Glucose
pvalue,0.906613
