analysis_id,25bkz8202179957
gene_symbol,Rufy4
gene_accession_id,MGI:3588214
parameter_id,MGP_PBI_001_001
mouse_strain,C57BL
parameter_name,Total T cell percentage
mouse_life_stage,Early adult
pvalue,0.3799009
