parameter_name,Fat/Body weight
pvalue,0.3735897
mouse_life_stage,Early adult
mouse_strain,C50BL
gene_symbol,Pglyrp3
parameter_id,JAXLA_DXA_009_001
gene_accession_id,MGI:2685266
analysis_id,9b337d5e5rei98h
