analysis_id,42971z2uv1a11p1
gene_symbol,Rab3gap2
pvalue,0.99487
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1916043
parameter_id,MGP_PBI_003_001
parameter_name,CD4+ alpha beta T cell percentage
