gene_symbol,Cntfr
parameter_id,MGP_PBI_015_001
mouse_strain,C57BL
analysis_id,g4uiwb419p47kqp
mouse_life_stage,Early adult
pvalue,0.4896611
parameter_name,IgD+ mature B cell percentage
gene_accession_id,MGI:99605
