parameter_name,Fasted blood glucose concentration
mouse_life_stage,Early adult
gene_symbol,Rab22a
mouse_strain,C57BL
analysis_id,74iy2588d07e65y
parameter_id,IMPC_IPG_010_001
pvalue,0.2027577
gene_accession_id,MGI:105072
