parameter_name,cDCs CD11b Type
mouse_life_stage,E18.5
gene_accession_id,MGI:2446186
gene_symbol,Lpgat1
pvalue,0.9718811
parameter_id,IMPC_IMM_073_001
analysis_id,42t1549u812o8c7
mouse_strain,C57BL
