mouse_strain,B6J
gene_symbol,Nr0b2
parameter_id,IMPC_HEM_004_001
gene_accession_id,MGI:1346344
parameter_name,Hematocrit
mouse_life_stage,Early adult
pvalue,0.8999771
analysis_id,wa2nnsay9kg9406
