gene_symbol,Ahctf1
analysis_id,g3311d94jom828f
mouse_life_stage,Early adult
parameter_name,KLRG1+ gd T cells - % of gd T cells
parameter_id,MGP_MLN_021_001
mouse_strain,C57BL
gene_accession_id,MGI:1915033
pvalue,0.9309886
