parameter_id,TCPLA_CSD_030_001
gene_symbol,Lpgat1
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.4874191
parameter_name,Tremor
analysis_id,0qvq823xn280otv
gene_accession_id,MGI:2446186
