analysis_id,87u13lra77e207c
gene_accession_id,MGI:1917810
pvalue,0.6854697
gene_symbol,Wars2
mouse_life_stage,E12.5
parameter_name,Weight
parameter_id,CCP_LFO_001_001
mouse_strain,C57BL
