parameter_name,Neural tube morphology
mouse_strain,C57BL
gene_accession_id,MGI:2673000
mouse_life_stage,Early adult
analysis_id,6bfx2643x59jd3u
pvalue,0.4803816
gene_symbol,Trim46
parameter_id,IMPC_GEL_060_001
