mouse_strain,B6J
parameter_id,IMPC_HEM_039_001
analysis_id,rz7s50u131s0e1h
gene_symbol,Nr0b2
parameter_name,Large Unstained Cell (LUC) count
gene_accession_id,MGI:1346344
mouse_life_stage,Early adult
pvalue,0.5617448
