analysis_id,4u2a03262x3a0sr
mouse_life_stage,Early adult
gene_symbol,Snap23
gene_accession_id,MGI:109356
parameter_name,Whole arena resting time
pvalue,0.3546676
mouse_strain,C57BL
parameter_id,HRWLLA_OFD_007_001
