parameter_name,Tibia
pvalue,0.4268282
parameter_id,IMPC_XRY_025_001
analysis_id,18p5814j4i9r736
mouse_life_stage,Early adult
gene_accession_id,MGI:1915472
mouse_strain,C57BL
gene_symbol,Tubb4b
