parameter_name,Bone Mineral Content
mouse_life_stage,Early adult
gene_accession_id,MGI:1332236
parameter_id,ESLIM_005_001_005
mouse_strain,129SV
analysis_id,wh207jk814bi61o
pvalue,0.7791634
gene_symbol,Cds2
